13// number of internal lecturers: IT_1, ..., IT_m1
2// number of external lecturers: IT_m1+1, ..., IT_m
10// number of jury: J1, ..., Jn
// matrix 
	J1	J2	J3	J4	J5	J6	J7	J8	J9	J10
IT1	0	0	0	0	0	0	0	0	0	0
IT2	0	0	0	0	0	0	0	4	3	4
IT3	0	0	1	5	0	0	0	0	3	0
IT4	0	0	0	0	0	0	0	0	0	0
IT5	0	0	0	0	0	0	0	0	0	0
IT6	4	0	3	0	0	3	0	3	0	5
IT7	0	0	0	0	0	0	0	0	0	0
IT8	0	0	0	0	0	0	0	0	0	0
IT9	0	0	0	0	3	5	5	0	0	0
IT10	0	0	0	0	0	0	0	0	5	3
IT11	0	3	0	0	0	4	4	5	0	1
IT12	5	5	5	3	3	1	1	0	0	0
IT13	3	1	0	4	5	3	0	0	0	0
IT14	1	4	4	3	1	0	3	3	1	3
IT15	3	3	3	1	4	0	3	1	4	0
Time	6	9	7	8	10	13	11	12	13	14
Room	0	1	0	0	1	3	1	2	2	2
